2025-05-17 20:16:21,793 INFO:Processed pair (281, 283): 258
2025-05-17 20:16:21,794 INFO:Saved result for pair (287, 289): 267
2025-05-17 20:16:21,794 INFO:Processed pair (287, 289): 267
2025-05-17 20:16:21,795 INFO:Saved result for pair (293, 295): 326
2025-05-17 20:16:21,795 INFO:Processed pair (293, 295): 326
2025-05-17 20:16:21,795 INFO:Saved result for pair (299, 301): 329
2025-05-17 20:16:21,795 INFO:Processed pair (299, 301): 329
2025-05-17 20:16:21,796 INFO:Saved result for pair (305, 307): 333
2025-05-17 20:16:21,796 INFO:Processed pair (305, 307): 333
2025-05-17 20:16:21,796 INFO:Saved result for pair (311, 313): 338
2025-05-17 20:16:21,796 INFO:Processed pair (311, 313): 338
2025-05-17 20:16:21,797 INFO:Saved result for pair (317, 319): 343
2025-05-17 20:16:21,797 INFO:Processed pair (317, 319): 343
2025-05-17 20:16:21,797 INFO:Saved result for pair (323, 325): 350
2025-05-17 20:16:21,797 INFO:Processed pair (323, 325): 350
2025-05-17 20:16:21,798 INFO:Saved result for pair (329, 331): 350
2025-05-17 20:16:21,798 INFO:Processed pair (329, 331): 350
2025-05-17 20:16:21,798 INFO:Saved result for pair (335, 337): 356
2025-05-17 20:16:21,798 INFO:Processed pair (335, 337): 356
2025-05-17 20:16:21,799 INFO:Saved result for pair (341, 343): 361
2025-05-17 20:16:21,799 INFO:Processed pair (341, 343): 361
2025-05-17 20:16:21,799 INFO:Saved result for pair (347, 349): 366
2025-05-17 20:16:21,799 INFO:Processed pair (347, 349): 366
2025-05-17 20:16:21,800 INFO:Saved result for pair (353, 355): 371
2025-05-17 20:16:21,800 INFO:Processed pair (353, 355): 371
2025-05-17 20:16:21,800 INFO:Saved result for pair (359, 361): 372
2025-05-17 20:16:21,800 INFO:Processed pair (359, 361): 372
2025-05-17 20:16:21,801 INFO:Saved result for pair (365, 367): 442
2025-05-17 20:16:21,801 INFO:Processed pair (365, 367): 442
2025-05-17 20:16:21,801 INFO:Saved result for pair (371, 373): 447
2025-05-17 20:16:21,801 INFO:Processed pair (371, 373): 447
2025-05-17 20:16:21,802 INFO:Saved result for pair (377, 379): 455
2025-05-17 20:16:21,802 INFO:Processed pair (377, 379): 455
2025-05-17 20:16:21,802 INFO:Saved result for pair (383, 385): 460
2025-05-17 20:16:21,802 INFO:Processed pair (383, 385): 460
2025-05-17 20:16:21,803 INFO:Saved result for pair (389, 391): 462
2025-05-17 20:16:21,803 INFO:Processed pair (389, 391): 462
2025-05-17 20:16:21,803 INFO:Saved result for pair (395, 397): 465
2025-05-17 20:16:21,803 INFO:Processed pair (395, 397): 465
2025-05-17 20:16:21,803 INFO:Saved result for pair (401, 403): 470
2025-05-17 20:16:21,803 INFO:Processed pair (401, 403): 470
2025-05-17 20:16:21,804 INFO:Saved result for pair (407, 409): 478
2025-05-17 20:16:21,804 INFO:Processed pair (407, 409): 478
2025-05-17 20:16:21,804 INFO:Saved result for pair (413, 415): 482
2025-05-17 20:16:21,804 INFO:Processed pair (413, 415): 482
2025-05-17 20:16:21,805 INFO:Saved result for pair (419, 421): 485
2025-05-17 20:16:21,805 INFO:Processed pair (419, 421): 485
2025-05-17 20:16:21,805 INFO:Saved result for pair (425, 427): 491
2025-05-17 20:16:21,805 INFO:Processed pair (425, 427): 491
2025-05-17 20:16:21,806 INFO:Saved result for pair (431, 433): 493
2025-05-17 20:16:21,806 INFO:Processed pair (431, 433): 493
2025-05-17 20:16:21,806 INFO:Saved result for pair (437, 439): 503
2025-05-17 20:16:21,806 INFO:Processed pair (437, 439): 503
2025-05-17 20:16:21,806 INFO:Saved result for pair (443, 445): 509
2025-05-17 20:16:21,806 INFO:Processed pair (443, 445): 509
2025-05-17 20:16:21,807 INFO:Saved result for pair (449, 451): 511
2025-05-17 20:16:21,807 INFO:Processed pair (449, 451): 511
2025-05-17 20:16:21,808 INFO:Saved result for pair (455, 457): 520
2025-05-17 20:16:21,808 INFO:Processed pair (455, 457): 520
2025-05-17 20:16:21,808 INFO:Saved result for pair (461, 463): 518
2025-05-17 20:16:21,808 INFO:Processed pair (461, 463): 518
2025-05-17 20:16:21,809 INFO:Saved result for pair (467, 469): 528
2025-05-17 20:16:21,809 INFO:Processed pair (467, 469): 528
2025-05-17 20:16:21,809 INFO:Saved result for pair (473, 475): 532
2025-05-17 20:16:21,809 INFO:Processed pair (473, 475): 532
2025-05-17 20:16:21,809 INFO:Saved result for pair (479, 481): 535
2025-05-17 20:16:21,809 INFO:Processed pair (479, 481): 535
2025-05-17 20:16:21,810 INFO:Saved result for pair (485, 487): 541
2025-05-17 20:16:21,810 INFO:Processed pair (485, 487): 541
2025-05-17 20:16:21,810 INFO:Saved result for pair (491, 493): 549
2025-05-17 20:16:21,810 INFO:Processed pair (491, 493): 549
2025-05-17 20:16:21,811 INFO:Saved result for pair (497, 499): 554
2025-05-17 20:16:21,811 INFO:Processed pair (497, 499): 554
2025-05-17 20:16:21,811 INFO:Saved result for pair (503, 505): 558
2025-05-17 20:16:21,811 INFO:Processed pair (503, 505): 558
2025-05-17 20:16:21,811 INFO:Saved result for pair (509, 511): 557
2025-05-17 20:16:21,811 INFO:Processed pair (509, 511): 557
2025-05-17 20:16:21,812 INFO:Saved result for pair (515, 517): 564
2025-05-17 20:16:21,812 INFO:Processed pair (515, 517): 564
2025-05-17 20:16:21,812 INFO:Saved result for pair (521, 523): 573
2025-05-17 20:16:21,812 INFO:Processed pair (521, 523): 573
2025-05-17 20:16:21,813 INFO:Saved result for pair (527, 529): 574
2025-05-17 20:16:21,813 INFO:Processed pair (527, 529): 574
2025-05-17 20:16:21,813 INFO:Saved result for pair (533, 535): 661
2025-05-17 20:16:21,813 INFO:Processed pair (533, 535): 661
2025-05-17 20:16:21,814 INFO:Saved result for pair (539, 541): 662
2025-05-17 20:16:21,814 INFO:Processed pair (539, 541): 662
2025-05-17 20:16:21,814 INFO:Saved result for pair (545, 547): 667
2025-05-17 20:16:21,814 INFO:Processed pair (545, 547): 667
2025-05-17 20:16:21,815 INFO:Saved result for pair (551, 553): 672
2025-05-17 20:16:21,815 INFO:Processed pair (551, 553): 672
2025-05-17 20:16:21,815 INFO:Saved result for pair (557, 559): 679
2025-05-17 20:16:21,815 INFO:Processed pair (557, 559): 679
2025-05-17 20:16:21,815 INFO:Saved result for pair (563, 565): 684
